experiment_id,date,hypothesis,motivation,baseline,code_changes,parameters,symbol,strategy,training_period,validation_period,test_period,backtest_command,result,PnL,trade_count,win_rate,profit_factor,drawdown,interpretation,decision,next_action
EXP_0034,2026-09-06,Testing ADX threshold >= 15.0 on optimal SL=5t configuration to verify chop avoidance.,Investigate ADX sensitivity on SL=5t system.,EXP_0007,ADX threshold: 15.0,"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=5,adx_th=15.0",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-ticks 5 --adx-filter --adx-threshold 15.0,INCONCLUSIVE,0.1834,2842,76.0380,1.2693,8.2386,"Trades: 2842, WR: 76.04%, PF: 1.27, PnL: +0.1834 USDT, DD: 8.24%",INCONCLUSIVE,Assess economic value retention
EXP_0035,2026-09-06,Testing ADX threshold >= 20.0 on optimal SL=5t configuration to verify chop avoidance.,Investigate ADX sensitivity on SL=5t system.,EXP_0007,ADX threshold: 20.0,"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=5,adx_th=20.0",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-ticks 5 --adx-filter --adx-threshold 20.0,REJECTED,0.1296,2242,75.5575,1.2365,7.4176,"Trades: 2242, WR: 75.56%, PF: 1.24, PnL: +0.1296 USDT, DD: 7.42%",REJECTED,Assess economic value retention
EXP_0036,2026-09-06,Testing ADX threshold >= 25.0 on optimal SL=5t configuration to verify chop avoidance.,Investigate ADX sensitivity on SL=5t system.,EXP_0007,ADX threshold: 25.0,"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=5,adx_th=25.0",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-ticks 5 --adx-filter --adx-threshold 25.0,REJECTED,0.1216,1641,76.7215,1.3183,7.4627,"Trades: 1641, WR: 76.72%, PF: 1.32, PnL: +0.1216 USDT, DD: 7.46%",REJECTED,Assess economic value retention
EXP_0037,2026-09-06,Testing ADX threshold >= 30.0 on optimal SL=5t configuration to verify chop avoidance.,Investigate ADX sensitivity on SL=5t system.,EXP_0007,ADX threshold: 30.0,"strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=5,adx_th=30.0",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-ticks 5 --adx-filter --adx-threshold 30.0,REJECTED,0.0806,1115,76.5919,1.3088,8.6101,"Trades: 1115, WR: 76.59%, PF: 1.31, PnL: +0.0806 USDT, DD: 8.61%",REJECTED,Assess economic value retention
EXP_0038,2026-09-06,Test whether optimal geometry (SL=5t) improves EMA_CROSSOVER similarly.,Compare STOCH_RSI vs EMA_CROSSOVER under identical optimal TP/SL geometry.,EXP_0002,EMA_CROSSOVER with SL=5t,"strat=EMA_CROSSOVER,tp=2,sl_mode=TICKS,sl_ticks=5",TRUMP_USDT,EMA_CROSSOVER,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy EMA_CROSSOVER --start 2026-07-01 --end 2026-07-24 --tp-ticks 2 --sl-ticks 5,INCONCLUSIVE,0.0642,1802,73.9734,1.1369,36.4090,"Trades: 1802, WR: 73.97% (Delta: +2.54%), PF: 1.14, PnL: +0.0642, DD: 36.41%",INCONCLUSIVE,Compare against STOCH_RSI
EXP_0039,2026-09-06,Validation test on untouched period 2026-07-25 to 2026-08-15 to verify stability.,Baseline STOCH_RSI tested on untouched validation period.,DISCOVERY_RUNS,"Run on validation period: VALIDATION: Baseline STOCH_RSI (TP=2, SL=25% ROE)","strat=STOCH_RSI,tp=2,sl_mode=ROE,sl_ticks=None",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-25 --end 2026-08-15 --tp-ticks 2,VALIDATED,0.1516,2150,76.4651,1.2996,8.2912,"Trades: 2150, WR: 76.47%, PF: 1.30, PnL: +0.1516 USDT, DD: 8.29%",VALIDATED,Proceed to final holdout test
EXP_0040,2026-09-06,Validation test on untouched period 2026-07-25 to 2026-08-15 to verify stability.,Optimal geometry candidate tested on untouched validation period.,DISCOVERY_RUNS,"Run on validation period: VALIDATION: Candidate STOCH_RSI (TP=2, SL=5t)","strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=5",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-25 --end 2026-08-15 --tp-ticks 2,VALIDATED,0.1516,2150,76.4651,1.2996,8.2912,"Trades: 2150, WR: 76.47%, PF: 1.30, PnL: +0.1516 USDT, DD: 8.29%",VALIDATED,Proceed to final holdout test
EXP_0041,2026-09-06,Validation test on untouched period 2026-07-25 to 2026-08-15 to verify stability.,Symmetric 1:1 test on untouched validation period.,DISCOVERY_RUNS,"Run on validation period: VALIDATION: Symmetric STOCH_RSI (TP=2, SL=2t)","strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=2",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-07-25 --end 2026-08-15 --tp-ticks 2,INCONCLUSIVE,0.0196,3245,50.7550,1.0307,19.4093,"Trades: 3245, WR: 50.76%, PF: 1.03, PnL: +0.0196 USDT, DD: 19.41%",INCONCLUSIVE,Proceed to final holdout test
EXP_0042,2026-09-06,Validation test on untouched period 2026-07-25 to 2026-08-15 to verify stability.,Baseline EMA tested on untouched validation period.,DISCOVERY_RUNS,"Run on validation period: VALIDATION: Baseline EMA (TP=2, SL=25% ROE)","strat=EMA_CROSSOVER,tp=2,sl_mode=ROE,sl_ticks=None",TRUMP_USDT,EMA_CROSSOVER,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy EMA_CROSSOVER --start 2026-07-25 --end 2026-08-15 --tp-ticks 2,INCONCLUSIVE,0.0228,1289,72.6920,1.0648,17.5090,"Trades: 1289, WR: 72.69%, PF: 1.06, PnL: +0.0228 USDT, DD: 17.51%",INCONCLUSIVE,Proceed to final holdout test
EXP_0043,2026-09-06,Validation test on untouched period 2026-07-25 to 2026-08-15 to verify stability.,Candidate EMA tested on untouched validation period.,DISCOVERY_RUNS,"Run on validation period: VALIDATION: Candidate EMA (TP=2, SL=5t)","strat=EMA_CROSSOVER,tp=2,sl_mode=TICKS,sl_ticks=5",TRUMP_USDT,EMA_CROSSOVER,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy EMA_CROSSOVER --start 2026-07-25 --end 2026-08-15 --tp-ticks 2,INCONCLUSIVE,0.0228,1289,72.6920,1.0648,17.5090,"Trades: 1289, WR: 72.69%, PF: 1.06, PnL: +0.0228 USDT, DD: 17.51%",INCONCLUSIVE,Proceed to final holdout test
EXP_0044,2026-09-06,Final holdout test on untouched out-of-sample period 2026-08-16 to 2026-08-31.,Final untouched out-of-sample evaluation of Candidate System.,VALIDATION_RUNS,"Run on final OOS period: FINAL_OOS: Candidate STOCH_RSI (TP=2, SL=5t)","strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=5",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-08-16 --end 2026-08-31 --tp-ticks 2,VALIDATED,0.1002,2578,74.2048,1.1507,9.2348,"Trades: 2578, WR: 74.20%, PF: 1.15, PnL: +0.1002 USDT, DD: 9.23%",VALIDATED,Cross-pair validation
EXP_0045,2026-09-06,Final holdout test on untouched out-of-sample period 2026-08-16 to 2026-08-31.,Final untouched out-of-sample evaluation of Baseline System.,VALIDATION_RUNS,"Run on final OOS period: FINAL_OOS: Baseline STOCH_RSI (TP=2, SL=25% ROE)","strat=STOCH_RSI,tp=2,sl_mode=ROE,sl_ticks=None",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-08-16 --end 2026-08-31 --tp-ticks 2,INCONCLUSIVE,0.1056,2549,80.7375,1.1472,12.3249,"Trades: 2549, WR: 80.74%, PF: 1.15, PnL: +0.1056 USDT, DD: 12.32%",INCONCLUSIVE,Cross-pair validation
EXP_0046,2026-09-06,Final holdout test on untouched out-of-sample period 2026-08-16 to 2026-08-31.,Final untouched out-of-sample diagnostic symmetric test.,VALIDATION_RUNS,"Run on final OOS period: FINAL_OOS: Symmetric STOCH_RSI (TP=2, SL=2t)","strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=2",TRUMP_USDT,STOCH_RSI,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy STOCH_RSI --start 2026-08-16 --end 2026-08-31 --tp-ticks 2,INCONCLUSIVE,0.0388,2793,51.7365,1.0720,19.6629,"Trades: 2793, WR: 51.74%, PF: 1.07, PnL: +0.0388 USDT, DD: 19.66%",INCONCLUSIVE,Cross-pair validation
EXP_0047,2026-09-06,Final holdout test on untouched out-of-sample period 2026-08-16 to 2026-08-31.,Final untouched out-of-sample evaluation of EMA_CROSSOVER.,VALIDATION_RUNS,"Run on final OOS period: FINAL_OOS: Candidate EMA (TP=2, SL=5t)","strat=EMA_CROSSOVER,tp=2,sl_mode=TICKS,sl_ticks=5",TRUMP_USDT,EMA_CROSSOVER,2026-07-01 to 2026-07-24,2026-07-25 to 2026-08-15,2026-08-16 to 2026-08-31,python BACKTESTER/run_backtest.py --symbol TRUMP_USDT --strategy EMA_CROSSOVER --start 2026-08-16 --end 2026-08-31 --tp-ticks 2,INCONCLUSIVE,0.0218,1318,72.6100,1.0604,25.1366,"Trades: 1318, WR: 72.61%, PF: 1.06, PnL: +0.0218 USDT, DD: 25.14%",INCONCLUSIVE,Cross-pair validation
EXP_0048,2026-09-06,Cross-pair generalization test on DOGE_USDT.,Cross-pair evaluation of Candidate System on DOGE_USDT.,TRUMP_RUNS,"Run on DOGE_USDT: CROSS_PAIR: DOGE_USDT Candidate (TP=2, SL=5t)","symbol=DOGE_USDT,strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=5",DOGE_USDT,STOCH_RSI,TRUMP July 2026,TRUMP August 2026,DOGE July-August 2026,python BACKTESTER/run_backtest.py --symbol DOGE_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-08-31 --tp-ticks 2,VALIDATED,0.1326,11661,73.0469,1.0844,0.0227,"Trades: 11661, WR: 73.05%, PF: 1.08, PnL: +0.1326 USDT, DD: 0.02%",VALIDATED,Complete research ledger and finalize reports
EXP_0049,2026-09-06,Cross-pair generalization test on DOGE_USDT.,Cross-pair evaluation of Baseline System on DOGE_USDT.,TRUMP_RUNS,"Run on DOGE_USDT: CROSS_PAIR: DOGE_USDT Baseline (TP=2, SL=25% ROE)","symbol=DOGE_USDT,strat=STOCH_RSI,tp=2,sl_mode=ROE,sl_ticks=None",DOGE_USDT,STOCH_RSI,TRUMP July 2026,TRUMP August 2026,DOGE July-August 2026,python BACKTESTER/run_backtest.py --symbol DOGE_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-08-31 --tp-ticks 2,REJECTED,-0.0470,8839,92.3860,0.9720,0.0739,"Trades: 8839, WR: 92.39%, PF: 0.97, PnL: -0.0470 USDT, DD: 0.07%",REJECTED,Complete research ledger and finalize reports
EXP_0050,2026-09-06,Cross-pair generalization test on DOGE_USDT.,Cross-pair diagnostic symmetric test on DOGE_USDT.,TRUMP_RUNS,"Run on DOGE_USDT: CROSS_PAIR: DOGE_USDT Symmetric (TP=2, SL=2t)","symbol=DOGE_USDT,strat=STOCH_RSI,tp=2,sl_mode=TICKS,sl_ticks=2",DOGE_USDT,STOCH_RSI,TRUMP July 2026,TRUMP August 2026,DOGE July-August 2026,python BACKTESTER/run_backtest.py --symbol DOGE_USDT --strategy STOCH_RSI --start 2026-07-01 --end 2026-08-31 --tp-ticks 2,VALIDATED,0.5846,12120,62.0545,1.6357,0.005183,"Trades: 12120, WR: 62.05%, PF: 1.64, PnL: +0.5846 USDT, DD: 0.01%",VALIDATED,Complete research ledger and finalize reports
